Year,Month,Underground Line,Temperature
2019,July,Central,30.7
2019,July,Jubilee,26.49
2019,July,Northern,28.86
2019,July,Piccadilly,27.87
2019,July,Victoria,30.19
2019,July,Waterloo_and_City,25.31
2019,July,Sub-surface_lines,25.91
2019,August,Bakerloo,31.75
2019,August,Central,30.8
2019,August,Jubilee,26.43
2019,August,Northern,29.18
2019,August,Piccadilly,28.04
2019,August,Victoria,30.18
2019,August,Waterloo_and_City,25.27
2019,August,Sub-surface_lines,25.34
2019,September,Bakerloo,30.81
2019,September,Central,29.54
2019,September,Jubilee,25.4
2019,September,Northern,28.37
2019,September,Piccadilly,26.99
2019,September,Victoria,29.24
2019,September,Waterloo_and_City,24.38
2019,September,Sub-surface_lines,22.93
2019,October,Bakerloo,28.96
2019,October,Central,27.37
2019,October,Jubilee,22.96
2019,October,Northern,26.62
2019,October,Piccadilly,24.92
2019,October,Victoria,27.97
2019,October,Waterloo_and_City,22.41
2019,October,Sub-surface_lines,18.92
2019,November,Bakerloo,26.8
2019,November,Central,24.89
2019,November,Jubilee,20.42
2019,November,Northern,24.71
2019,November,Piccadilly,22.66
2019,November,Victoria,25.77
2019,November,Waterloo_and_City,19.99
2019,November,Sub-surface_lines,15.31
2019,December,Bakerloo,25.46
2019,December,Central,23.8
2019,December,Jubilee,19.07
2019,December,Northern,23.48
2019,December,Piccadilly,21.59
2019,December,Victoria,25.22
2019,December,Waterloo_and_City,19.05
2019,December,Sub-surface_lines,14.19
2020,January,Bakerloo,25.38
2020,January,Central,23.81
2020,January,Jubilee,19.73
2020,January,Northern,23.36
2020,January,Piccadilly,21.53
2020,January,Victoria,25.92
2020,January,Waterloo_and_City,19.06
2020,January,Sub-surface_lines,14.29
2020,February,Bakerloo,24.97
2020,February,Central,23.88
2020,February,Jubilee,20.21
2020,February,Northern,23.19
2020,February,Piccadilly,21.25
2020,February,Victoria,26.05
2020,February,Waterloo_and_City,18.93
2020,February,Sub-surface_lines,14.01
2020,March,Bakerloo,24.81
2020,March,Central,23.4
2020,March,Jubilee,19.33
2020,March,Northern,22.57
2020,March,Piccadilly,21.05
2020,March,Victoria,24.41
2020,March,Waterloo_and_City,18.53
2020,March,Sub-surface_lines,14.08
2020,April,Bakerloo,25.23
2020,April,Central,22.91
2020,April,Jubilee,19.58
2020,April,Northern,22.62
2020,April,Piccadilly,20.99
2020,April,Victoria,22.44
2020,April,Waterloo_and_City,18.68
2020,April,Sub-surface_lines,16.38
2020,May,Bakerloo,27.12
2020,May,Central,24.17
2020,May,Jubilee,21.28
2020,May,Northern,23.75
2020,May,Piccadilly,22.35
2020,May,Victoria,23.02
2020,May,Waterloo_and_City,19.31
2020,May,Sub-surface_lines,19.42
2020,June,Bakerloo,28.83
2020,June,Central,26.7
2020,June,Jubilee,23.58
2020,June,Northern,25.65
2020,June,Piccadilly,24.7
2020,June,Victoria,26.39
2020,June,Waterloo_and_City,20.55
2020,June,Sub-surface_lines,22.02
2020,July,Bakerloo,29.96
2020,July,Central,28.62
2020,July,Jubilee,24.86
2020,July,Northern,26.79
2020,July,Piccadilly,25.89
2020,July,Victoria,27.82
2020,July,Waterloo_and_City,21.14
2020,July,Sub-surface_lines,23.31
2020,August,Bakerloo,31.18
2020,August,Central,30.5
2020,August,Jubilee,26.18
2020,August,Northern,28.21
2020,August,Piccadilly,27.35
2020,August,Victoria,29.64
2020,August,Waterloo_and_City,22.05
2020,August,Sub-surface_lines,24.94
2020,September,Bakerloo,30.41
2020,September,Central,29.14
2020,September,Jubilee,24.16
2020,September,Northern,27.48
2020,September,Piccadilly,26.29
2020,September,Victoria,29.11
2020,September,Waterloo_and_City,20.6
2020,September,Sub-surface_lines,22.33
2020,October,Bakerloo,27.71
2020,October,Central,26.38
2020,October,Jubilee,21.2
2020,October,Northern,25.55
2020,October,Piccadilly,23.76
2020,October,Victoria,27.88
2020,October,Waterloo_and_City,18.1
2020,October,Sub-surface_lines,17.64
2020,November,Bakerloo,26.52
2020,November,Central,25.31
2020,November,Jubilee,20.71
2020,November,Northern,24.34
2020,November,Piccadilly,22.47
2020,November,Victoria,26.09
2020,November,Waterloo_and_City,17.53
2020,November,Sub-surface_lines,16.1
2020,December,Bakerloo,24.11
2020,December,Central,23.42
2020,December,Jubilee,18.31
2020,December,Northern,22.56
2020,December,Piccadilly,20.43
2020,December,Victoria,24.11
2020,December,Waterloo_and_City,15.37
2020,December,Sub-surface_lines,13.36
2021,January,Bakerloo,21.93
2021,January,Central,21.71
2021,January,Jubilee,16.56
2021,January,Northern,21.11
2021,January,Piccadilly,18.77
2021,January,Victoria,21.97
2021,January,Waterloo_and_City,13.69
2021,January,Sub-surface_lines,11.18
2021,February,Bakerloo,21.72
2021,February,Central,22.03
2021,February,Jubilee,17.98
2021,February,Northern,21.18
2021,February,Piccadilly,18.98
2021,February,Victoria,23.28
2021,February,Waterloo_and_City,13.93
2021,February,Sub-surface_lines,12.09
2021,March,Bakerloo,22.35
2021,March,Central,22.63
2021,March,Jubilee,19.13
2021,March,Northern,21.78
2021,March,Piccadilly,19.68
2021,March,Victoria,23.73
2021,March,Waterloo_and_City,14.58
2021,March,Sub-surface_lines,13.93
2021,April,Bakerloo,23.01
2021,April,Central,23.61
2021,April,Jubilee,19.22
2021,April,Northern,21.98
2021,April,Piccadilly,20.6
2021,April,Victoria,24.18
2021,April,Waterloo_and_City,15.04
2021,April,Sub-surface_lines,15.28
2021,May,Bakerloo,24.14
2021,May,Central,24.48
2021,May,Jubilee,20.03
2021,May,Northern,23.21
2021,May,Piccadilly,21.7
2021,May,Victoria,25.67
2021,May,Waterloo_and_City,16.17
2021,May,Sub-surface_lines,17.34
2021,June,Bakerloo,27.37
2021,June,Central,28.14
2021,June,Jubilee,23.59
2021,June,Northern,26.19
2021,June,Piccadilly,25.04
2021,June,Victoria,28.99
2021,June,Waterloo_and_City,20.12
2021,June,Sub-surface_lines,23
2021,July,Bakerloo,28.49
2021,July,Central,29.32
2021,July,Jubilee,24.7
2021,July,Northern,27.35
2021,July,Piccadilly,26.22
2021,July,Victoria,29.86
2021,July,Waterloo_and_City,21.56
2021,July,Sub-surface_lines,24.1
2021,August,Bakerloo,28.41
2021,August,Central,29.22
2021,August,Jubilee,23.97
2021,August,Northern,27.23
2021,August,Piccadilly,26.09
2021,August,Victoria,29.18
2021,August,Waterloo_and_City,21.3
2021,August,Sub-surface_lines,22.44
2021,September,Bakerloo,29.09
2021,September,Central,29.32
2021,September,Jubilee,24.12
2021,September,Northern,27.49
2021,September,Piccadilly,26.1
2021,September,Victoria,29.94
2021,September,Waterloo_and_City,21.49
2021,September,Sub-surface_lines,23.56
2021,October,Bakerloo,27.48
2021,October,Central,27.18
